IP,Severity,MITRE,Reportes,Primer visto,Expira en,País
172.202.114.25,HIGH,Initial Access · T1190 · T1190,840,2026-06-27,2026-07-20,US
109.105.209.20,HIGH,Initial Access · T1190 · T1190,840,2026-06-27,2026-07-20,PT
39.104.63.170,HIGH,Initial Access · T1190 · T1190,840,2026-06-27,2026-07-20,CN
74.249.128.108,HIGH,Initial Access · T1190 · T1190,602,2026-06-26,2026-07-19,US
209.122.35.98,HIGH,Initial Access · T1190 · T1190,602,2026-06-26,2026-07-19,US
20.169.104.255,HIGH,Initial Access · T1190 · T1190,602,2026-06-26,2026-07-19,US
223.123.41.71,HIGH,Initial Access · T1190 · T1190,602,2026-06-26,2026-07-19,PK
151.241.122.108,HIGH,Initial Access · T1190 · T1190,602,2026-06-26,2026-07-19,US
172.215.145.207,HIGH,Initial Access · T1190 · T1190,955,2026-06-24,2026-07-18,US
45.79.207.71,HIGH,Initial Access · T1190 · T1190,956,2026-06-24,2026-07-18,US
20.163.39.86,HIGH,Initial Access · T1190 · T1190,955,2026-06-24,2026-07-18,US
66.132.172.39,HIGH,Initial Access · T1190 · T1190,955,2026-06-24,2026-07-18,US
160.119.76.17,HIGH,,1145,2026-06-24,2026-07-18,SC
135.237.127.112,MANUAL,"Manual: Watchlist desde caso 77925f3b (MEDIUM, Initial Access)",15,2026-07-14,2026-08-04,US
200.100.109.236,MANUAL,"Manual: Watchlist desde caso 943de5c6 (MEDIUM, Defense Evasion)",769,2026-06-18,2026-07-18,BR
66.132.172.207,MEDIUM,Initial Access · T1190 · T1190,565,2026-06-11,2026-07-19,US
66.132.186.201,MEDIUM,Initial Access · T1190 · T1190,1292,2026-04-21,2026-07-21,US
77.90.185.238,MEDIUM,Initial Access · T1566 · T1566,1255,2026-06-14,2026-07-21,IR
66.132.195.48,MANUAL,"Manual: Watchlist desde caso bdd5fff9 (HIGH, Discovery)",1523,2026-06-13,2026-08-02,US
66.132.172.204,MEDIUM,Initial Access · T1190 · T1190,697,2026-06-29,2026-07-22,US
66.132.195.84,MEDIUM,Initial Access · T1190 · T1190,695,2026-06-29,2026-07-22,US
